Vout	I1	R	I2	V1	V2	Itot	Log(Vout)	Log(Itot)	Pre-Set		Set		Return	
V	A	ohm	A	V	V	A	V	A	1.004721701	-5.072549439	3.088819614	-4.227175004	0.996596798	-2.239642653
1.45275	0.0058814	247.0075152	-0.0059602	1.45275	0	0.0059208	0.162190884	-2.227619609						
1.4625	0.0059418	246.1375341	-0.0059444	1.4625	0	0.0059431	0.165095875	-2.225986962						
1.472	0.0059818	246.0797753	-0.0059864	1.472	0	0.0059841	0.16790781	-2.223001158						
1.4815	0.006028	245.7697412	-0.0060266	1.4815	0	0.0060273	0.170701656	-2.219877192						
1.49125	0.0060558	246.2515275	-0.0060582	1.49125	0	0.006057	0.173550457	-2.217742426						
1.50075	0.0060972	246.1375713	-0.0060942	1.50075	0	0.0060957	0.176308352	-2.214976415						
1.5105	0.0061344	246.2343505	-0.0061328	1.5105	0	0.0061336	0.17912073	-2.21228455						
1.52	0.0062126	244.6640698	-0.006214	1.52	0	0.0062133	0.181843588	-2.206677677						
1.5295	0.0062472	244.8296837	-0.006245	1.5295	0	0.0062461	0.184549481	-2.204391067						
1.53925	0.006286	244.8695514	-0.0062854	1.53925	0	0.0062857	0.187309162	-2.201646351						
1.54875	0.0063288	244.7146378	-0.0063272	1.54875	0	0.006328	0.189981319	-2.19873353						
1.5585	0.006344	245.6651955	-0.0063544	1.5585	0	0.0063492	0.192706807	-2.197280992						
1.568	0.0064104	244.6025209	-0.0064164	1.568	0	0.0064134	0.195346058	-2.192911673						
1.5775	0.0064728	243.7121493	-0.0064756	1.5775	0	0.0064742	0.197969368	-2.188813889						
1.58725	0.0065104	243.8022241	-0.0065084	1.58725	0	0.0065094	0.200645336	-2.18645904						
1.59675	0.0065352	244.3307014	-0.0065298	1.59675	0	0.0065325	0.203236925	-2.184920582						
1.6065	0.0065594	244.9156935	-0.0065584	1.6065	0	0.0065589	0.20588073	-2.183168991						
1.616	0.0065958	245.0043967	-0.006601	1.616	0	0.0065984	0.208441356	-2.180561361						
1.6255	0.0066378	244.8853536	-0.0066314	1.6255	0	0.0066346	0.210986974	-2.178185256						
1.63525	0.0066826	244.7026606	-0.0067118	1.63525	0	0.0066972	0.213584158	-2.174106731						
1.64475	0.0080694	203.8255632	-0.0080966	1.64475	0	0.008083	0.216099895	-2.092427421						
1.6545	0.0081978	201.8224402	-0.008214	1.6545	0	0.0082059	0.218666771	-2.08587378						
1.664	0.0083202	199.9951924	-0.008336	1.664	0	0.0083281	0.221153322	-2.079454069						
1.6735	0.0087164	191.9944014	-0.0087638	1.6735	0	0.0087401	0.223625717	-2.058483598						
1.68325	0.0089078	188.9636049	-0.0089238	1.68325	0	0.0089158	0.226148623	-2.049839682						
1.69275	0.008999	188.1042338	-0.0090024	1.69275	0	0.0090007	0.228592822	-2.045723713						
1.7025	0.0091352	186.3670199	-0.0091742	1.7025	0	0.0091547	0.231087121	-2.038355883						
1.712	0.009238	185.3214982	-0.0092396	1.712	0	0.0092388	0.23350376	-2.034384434						
1.7215	0.0093092	184.9245907	-0.0093138	1.7215	0	0.0093115	0.235907027	-2.030980352						
1.73125	0.0093814	184.5406869	-0.0093836	1.73125	0	0.0093825	0.238359786	-2.027681427						
1.74075	0.009439	184.4210192	-0.0094406	1.74075	0	0.0094398	0.240736404	-2.025037207						
1.7505	0.0094994	184.2747963	-0.0095008	1.7505	0	0.0095001	0.243162115	-2.022271823						
